Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
Ramesh Rathod,Adilabad,TDP,2,12th Pass,"Rsÿ34,10,000","Rsÿ8,15,241"
,,,,,~ 34ÿLacs+,~ 8ÿLacs+
DR. RAMSHANKAR,Agra,BJP,0,Doctorate,"Rsÿ15,11,000","Rsÿ6,39,959"
,,,,,~ 15ÿLacs+,~ 6ÿLacs+
HARIN PATHAK,Ahmedabad East,BJP,2,Post Graduate,"Rsÿ1,45,78,184","Rsÿ22,734"
,,,,,~ 1ÿCrore+,~ 22ÿThou+
KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,"Rsÿ2,61,22,439","Rsÿ7,09,488"
,,,,,~ 2ÿCrore+,~ 7ÿLacs+
GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP,9,10th Pass,"Rsÿ1,30,53,391","Rsÿ9,55,351"
,,,,,~ 1ÿCrore+,~ 9ÿLacs+
SACHIN PILOT,Ajmer,INC,0,Post Graduate,"Rsÿ4,64,89,558",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,"Rsÿ44,00,000","Rsÿ8,38,099"
,,,,,~ 44ÿLacs+,~ 8ÿLacs+
DHOTRE SANJAY SHAMRAO,Akola,BJP,4,Graduate Professional,"Rsÿ1,93,35,144","Rsÿ22,21,980"
,,,,,~ 1ÿCrore+,~ 22ÿLacs+
K C Venugopal,Alappuzha,INC,0,Post Graduate,"Rsÿ35,33,704","Rsÿ2,03,374"
,,,,,~ 35ÿLacs+,~ 2ÿLacs+
P K Biju,Alathur,CPM,0,Post Graduate,"Rsÿ4,61,000",Rsÿ0
,,,,,~ 4ÿLacs+,~ 
RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,"Rsÿ3,40,34,506",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Manohar Tirkey,Alipurduars,RSP,0,10th Pass,"Rsÿ23,58,725",Rsÿ0
,,,,,~ 23ÿLacs+,~ 
KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,"Rsÿ1,86,40,164","Rsÿ2,26,475"
,,,,,~ 1ÿCrore+,~ 2ÿLacs+
PRADEEP TAMTA,Almora,INC,0,Post Graduate,"Rsÿ15,90,000",Rsÿ0
,,,,,~ 15ÿLacs+,~ 
JITENDRA SINGH,Alwar,INC,0,Graduate,"Rsÿ6,79,67,810",Rsÿ0
,,,,,~ 6ÿCrore+,~ 
G V Harsha Kumar,Amalapuram,INC,1,Post Graduate,"Rsÿ72,89,000","Rsÿ10,14,298"
,,,,,~ 72ÿLacs+,~ 10ÿLacs+
SELJA,Ambala,INC,0,Post Graduate,"Rsÿ4,67,11,386",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
RAKESH PANDEY,Ambedkar Nagar,BSP,3,8th Pass,"Rsÿ16,40,78,904",Rsÿ0
,,,,,~ 16ÿCrore+,~ 
RAHUL GANDHI,Amethi,INC,0,Post Graduate,"Rsÿ2,32,74,706","Rsÿ23,35,000"
,,,,,~ 2ÿCrore+,~ 23ÿLacs+
ADSUL ANANDRAO VITHOBA,Amravati,SHS,1,Graduate,"Rsÿ1,77,08,418",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,"Rsÿ47,48,283","Rsÿ3,00,000"
,,,,,~ 47ÿLacs+,~ 3ÿLacs+
NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rsÿ14,50,37,236",Rsÿ0
,,,,,~ 14ÿCrore+,~ 
DEVENDRA NAGPAL,Amroha,RLD,6,Graduate,"Rsÿ13,24,25,712","Rsÿ1,39,60,788"
,,,,,~ 13ÿCrore+,~ 1ÿCrore+
Sabbam Hari,Anakapalle,INC,0,12th Pass,"Rsÿ8,50,32,286","Rsÿ4,50,000"
,,,,,~ 8ÿCrore+,~ 4ÿLacs+
RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,"Rsÿ2,18,21,443","Rsÿ3,00,000"
,,,,,~ 2ÿCrore+,~ 3ÿLacs+
ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rsÿ1,30,15,000",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
MIRZA MEHBOOB BEG,Anantnag,JKN,0,Graduate Professional,"Rsÿ48,50,000",Rsÿ0
,,,,,~ 48ÿLacs+,~ 
Shri Bishnu Pada Ray,Andaman & Nicobar Islands,BJP,1,Graduate,"Rsÿ12,41,034",Rsÿ0
,,,,,~ 12ÿLacs+,~ 
MANEKA GANDHI,Aonla,BJP,1,12th Pass,"Rsÿ18,28,33,477",Rsÿ0
,,,,,~ 18ÿCrore+,~ 
JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,"Rsÿ5,91,06,399",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
V. Kishore Chandra Deo,Araku,INC,0,Post Graduate,"Rsÿ24,74,10,000",Rsÿ0
,,,,,~ 24ÿCrore+,~ 
SAKTI MOHAN MALIK,Arambag,CPM,0,Post Graduate,"Rsÿ24,15,310","Rsÿ1,08,000"
,,,,,~ 24ÿLacs+,~ 1ÿLacs+
KRISHNASAMY M,Arani,INC,0,Graduate Professional,"Rsÿ6,23,85,765","Rsÿ1,67,92,067"
,,,,,~ 6ÿCrore+,~ 1ÿCrore+
PRADEEP KUMAR SINGH,Araria,BJP,3,10th Pass,"Rsÿ2,57,014","Rsÿ7,64,726"
,,,,,~ 2ÿLacs+,~ 7ÿLacs+
Meena Singh,Arrah,JD(U),0,Graduate,"Rsÿ4,24,36,500",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
NINONG ERING,Arunachal East,INC,0,Graduate,"Rsÿ10,43,20,000","Rsÿ12,51,784"
,,,,,~ 10ÿCrore+,~ 12ÿLacs+
TAKAM SANJOY,Arunachal West,INC,0,Graduate,"Rsÿ2,41,37,021",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
BANSAGOPAL CHOWDHURY,Asansol,CPM,0,Graduate,"Rsÿ14,23,763",Rsÿ0
,,,,,~ 14ÿLacs+,~ 
Nityananda Pradhan,Aska,BJD,1,Post Graduate,"Rsÿ2,66,16,692","Rsÿ15,25,000"
,,,,,~ 2ÿCrore+,~ 15ÿLacs+
Adv A Sampath,Attingal,CPM,2,Post Graduate,"Rsÿ89,99,000","Rsÿ21,50,029"
,,,,,~ 89ÿLacs+,~ 21ÿLacs+
CHANDRAKANT KHAIRE,Aurangabad,SHS,16,12th Pass,"Rsÿ1,41,51,539","Rsÿ14,72,122"
,,,,,~ 1ÿCrore+,~ 14ÿLacs+
Sushil Kumar Singh,Aurangabad,JD(U),4,Post Graduate,"Rsÿ2,08,87,871","Rsÿ7,41,199"
,,,,,~ 2ÿCrore+,~ 7ÿLacs+
BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,"Rsÿ2,52,97,068",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
RAMAKANT YADAV,Azamgarh,BJP,11,10th Pass,"Rsÿ2,44,94,000",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
DHARMENDRA YADAV,Badaun,SP,0,Post Graduate,"Rsÿ56,82,299","Rsÿ98,000"
,,,,,~ 56ÿLacs+,~ 98ÿThou+
GADDIGOUDAR P C,Bagalkot,BJP,0,Graduate Professional,"Rsÿ1,67,62,000","Rsÿ66,74,134"
,,,,,~ 1ÿCrore+,~ 66ÿLacs+
AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rsÿ5,82,32,462","Rsÿ13,077"
,,,,,~ 5ÿCrore+,~ 13ÿThou+
ADHIR RANJAN CHOWDHURY,Baharampur,INC,4,10th Pass,"Rsÿ2,99,43,557","Rsÿ19,26,083"
,,,,,~ 2ÿCrore+,~ 19ÿLacs+
KAMAL KISHOR,Bahraich,INC,1,Graduate,"Rsÿ13,73,495",Rsÿ0
,,,,,~ 13ÿLacs+,~ 
Srikanta Kumar Jena,Balasore,INC,0,Graduate,"Rsÿ59,79,551","Rsÿ8,62,820"
,,,,,~ 59ÿLacs+,~ 8ÿLacs+
NEERAJ SHEKHAR,Ballia,SP,0,Graduate,"Rsÿ2,77,18,262","Rsÿ1,51,00,000"
,,,,,~ 2ÿCrore+,~ 1ÿCrore+
Prasanta Kumar Majumdar,Balurghat,RSP,0,Post Graduate,"Rsÿ16,76,454",Rsÿ0
,,,,,~ 16ÿLacs+,~ 
MUKESH BHAIRAVDANJI GADHAVI,Banaskantha,INC,0,Graduate,"Rsÿ2,26,94,764",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
R. K. SINGH PATEL,Banda,SP,1,Graduate,"Rsÿ3,41,07,955",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
P.C.Mohan,Bangalore Central,BJP,1,12th Pass,"Rsÿ5,37,29,000","Rsÿ3,28,87,000"
,,,,,~ 5ÿCrore+,~ 3ÿCrore+
D.B. Chandre Gowda,Bangalore North,BJP,0,Graduate Professional,"Rsÿ2,08,40,751",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
H D KUMARA SWAMY,Bangalore Rural,JD(S),3,Graduate,"Rsÿ49,16,83,477","Rsÿ33,62,37,223"
,,,,,~ 49ÿCrore+,~ 33ÿCrore+
Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,"Rsÿ1,22,06,366",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
GOBINDA CHANDRA NASKAR,Bangaon,AITC,0,Post Graduate,"Rsÿ25,49,515",Rsÿ0
,,,,,~ 25ÿLacs+,~ 
Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rsÿ32,49,037",Rsÿ0
,,,,,~ 32ÿLacs+,~ 
KAMLESH PASWAN,Bansgaon,BJP,0,12th Pass,"Rsÿ17,68,000",Rsÿ0
,,,,,~ 17ÿLacs+,~ 
Tara chand,Banswara,INC,0,Post Graduate,"Rsÿ65,18,752","Rsÿ11,22,163"
,,,,,~ 65ÿLacs+,~ 11ÿLacs+
PANABAKA LAKSHMI,Bapatla,INC,0,Post Graduate,"Rsÿ1,66,35,386",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
P.L.PUNIA,Barabanki,INC,0,Doctorate,"Rsÿ1,40,47,833","Rsÿ9,95,370"
,,,,,~ 1ÿCrore+,~ 9ÿLacs+
SUPRIYA SULE,Baramati,NCP,0,Graduate,"Rsÿ51,53,63,663",Rsÿ0
,,,,,~ 51ÿCrore+,~ 
SHARIEF UD DIN SHARIQ,Baramulla,JKN,0,Post Graduate,"Rsÿ1,19,55,000","Rsÿ13,10,000"
,,,,,~ 1ÿCrore+,~ 13ÿLacs+
KAKALI GHOSH DASTIDAR,Barasat,AITC,0,Graduate Professional,"Rsÿ1,25,76,309","Rsÿ3,35,000"
,,,,,~ 1ÿCrore+,~ 3ÿLacs+
ANUP KUMAR SAHA,Bardhaman Purba,CPM,0,Post Graduate,"Rsÿ74,72,944",Rsÿ0
,,,,,~ 74ÿLacs+,~ 
SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,0,Post Graduate,"Rsÿ24,14,520","Rsÿ1,28,172"
,,,,,~ 24ÿLacs+,~ 1ÿLacs+
PRAVEEN SINGH ARON,Bareilly,INC,1,Graduate Professional,"Rsÿ28,80,19,293","Rsÿ3,26,22,036"
,,,,,~ 28ÿCrore+,~ 3ÿCrore+
Sanjay Bhoi,Bargarh,INC,0,Graduate,"Rsÿ17,00,000",Rsÿ0
,,,,,~ 17ÿLacs+,~ 
Harish choudhary,Barmer,INC,0,Graduate,"Rsÿ49,53,849","Rsÿ12,95,812"
,,,,,~ 49ÿLacs+,~ 12ÿLacs+
ISMAIL HUSSAIN,Barpeta,INC,0,Post Graduate,"Rsÿ99,31,726",Rsÿ0
,,,,,~ 99ÿLacs+,~ 
DINESH TRIVEDI,Barrackpur,AITC,0,Post Graduate,"Rsÿ2,72,03,930",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
SK. NURUL ISLAM,Basirhat,AITC,0,12th Pass,"Rsÿ11,55,500","Rsÿ8,07,500"
,,,,,~ 11ÿLacs+,~ 8ÿLacs+
Baliram Kashyap,Bastar,BJP,0,8th Pass,"Rsÿ99,48,590","Rsÿ11,66,014"
,,,,,~ 99ÿLacs+,~ 11ÿLacs+
ARVIND KUMAR CHAUDHARY,Basti,BSP,0,12th Pass,"Rsÿ1,86,43,936",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
HARSIMRAT KAUR,Bathinda,SAD,0,10th Pass,"Rsÿ60,31,00,135","Rsÿ13,800"
,,,,,~ 60ÿCrore+,~ 13ÿThou+
MUNDE GOPINATHRAO PANDURANG,Beed,BJP,4,Graduate Professional,"Rsÿ6,22,50,603","Rsÿ4,50,90,238"
,,,,,~ 6ÿCrore+,~ 4ÿCrore+
DR. MONAZIR HASSAN,Begusarai,JD(U),0,Doctorate,"Rsÿ35,83,898","Rsÿ16,82,852"
,,,,,~ 35ÿLacs+,~ 16ÿLacs+
Angadi Suresh Channabasappa,Belgaum,BJP,2,Graduate Professional,"Rsÿ22,17,34,263","Rsÿ4,33,92,842"
,,,,,~ 22ÿCrore+,~ 4ÿCrore+
J. SHANTHA,Bellary,BJP,0,12th Pass,"Rsÿ4,65,72,264",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Sidhant Mohapatra,Berhampur,BJD,0,Post Graduate,"Rsÿ48,28,474","Rsÿ1,18,884"
,,,,,~ 48ÿLacs+,~ 1ÿLacs+
JYOTI DHURVE,Betul,BJP,0,Post Graduate,"Rsÿ71,35,000","Rsÿ6,38,122"
,,,,,~ 71ÿLacs+,~ 6ÿLacs+
GORAKHNATH,Bhadohi,BSP,0,Post Graduate,"Rsÿ1,01,58,748","Rsÿ4,33,968"
,,,,,~ 1ÿCrore+,~ 4ÿLacs+
Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,"Rsÿ1,10,61,000","Rsÿ25,00,000"
,,,,,~ 1ÿCrore+,~ 25ÿLacs+
SYED SHAHNAWAZ HUSSAIN,Bhagalpur,BJP,0,10th Pass,"Rsÿ74,72,000","Rsÿ1,01,000"
,,,,,~ 74ÿLacs+,~ 1ÿLacs+
RATAN SINGH,Bharatpur,INC,0,Graduate Professional,"Rsÿ1,19,67,191","Rsÿ3,35,314"
,,,,,~ 1ÿCrore+,~ 3ÿLacs+
MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,0,Graduate,"Rsÿ24,41,000","Rsÿ8,33,462"
,,,,,~ 24ÿLacs+,~ 8ÿLacs+
RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,0,Graduate Professional,"Rsÿ55,08,711",Rsÿ0
,,,,,~ 55ÿLacs+,~ 
C P JOSHI,Bhilwara,INC,0,Doctorate,"Rsÿ2,03,76,956","Rsÿ14,00,000"
,,,,,~ 2ÿCrore+,~ 14ÿLacs+
ASHOK ARGAL,Bhind,BJP,4,12th Pass,"Rsÿ79,72,241","Rsÿ1,00,000"
,,,,,~ 79ÿLacs+,~ 1ÿLacs+
TAWARE SURESH KASHINATH,Bhiwandi,INC,0,Graduate,"Rsÿ10,90,39,952","Rsÿ12,50,000"
,,,,,~ 10ÿCrore+,~ 12ÿLacs+
SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,0,Graduate Professional,"Rsÿ16,72,66,000","Rsÿ1,70,00,000"
,,,,,~ 16ÿCrore+,~ 1ÿCrore+
KOMATIREDDY RAJ GOPAL REDDY,Bhongir,INC,0,Graduate,"Rsÿ19,47,63,618","Rsÿ60,57,899"
,,,,,~ 19ÿCrore+,~ 60ÿLacs+
KAILASH JOSHI,Bhopal,BJP,0,10th Pass,"Rsÿ58,85,927",Rsÿ0
,,,,,~ 58ÿLacs+,~ 
Prasanna Kumar Patasani,Bhubaneswar,BJD,0,Post Graduate,"Rsÿ14,77,178",Rsÿ0
,,,,,~ 14ÿLacs+,~ 
N. Dharamsingh,Bidar,INC,5,Post Graduate,"Rsÿ14,23,94,557","Rsÿ4,39,58,832"
,,,,,~ 14ÿCrore+,~ 4ÿCrore+
Jigajinagi Ramesh Chandappa,Bijapur,BJP,0,Graduate,"Rsÿ1,17,53,725","Rsÿ39,02,460"
,,,,,~ 1ÿCrore+,~ 39ÿLacs+
SANJAY SINGH CHAUHAN,Bijnor,RLD,0,Graduate Professional,"Rsÿ3,53,52,625","Rsÿ52,54,245"
,,,,,~ 3ÿCrore+,~ 52ÿLacs+
ARJUN RAM MEGHWAL,Bikaner,BJP,0,Post Graduate,"Rsÿ25,63,467",Rsÿ0
,,,,,~ 25ÿLacs+,~ 
SATABDI ROY (BANERJEE),Birbhum,AITC,0,12th Pass,"Rsÿ1,31,48,000","Rsÿ5,26,321"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
Susmita Bauri,Bishnupur,CPM,0,Graduate Professional,"Rsÿ10,78,000","Rsÿ1,74,660"
,,,,,~ 10ÿLacs+,~ 1ÿLacs+
KALIKESH NARAYAN SINGH DEO,Bolangir,BJD,2,Graduate,"Rsÿ3,61,48,185","Rsÿ14,31,104"
,,,,,~ 3ÿCrore+,~ 14ÿLacs+
RAM CHANDRA DOME,Bolpur,CPM,0,Graduate Professional,"Rsÿ7,39,396",Rsÿ0
,,,,,~ 7ÿLacs+,~ 
KAMLESH,Bulandshahr,SP,0,5th Pass,"Rsÿ8,44,005",Rsÿ0
,,,,,~ 8ÿLacs+,~ 
JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS,10,Graduate,"Rsÿ1,20,52,820","Rsÿ45,41,550"
,,,,,~ 1ÿCrore+,~ 45ÿLacs+
Jagda Nand singh,Buxar,RJD,1,Graduate Professional,"Rsÿ65,65,488","Rsÿ12,263"
,,,,,~ 65ÿLacs+,~ 12ÿThou+
K P Dhanapalan,Chalakudy,INC,1,Graduate,"Rsÿ29,54,364",Rsÿ0
,,,,,~ 29ÿLacs+,~ 
R.DHRUVANARAYANA,Chamarajanagar,INC,0,Post Graduate,"Rsÿ1,67,29,619","Rsÿ38,96,431"
,,,,,~ 1ÿCrore+,~ 38ÿLacs+
RAMKISHUN,Chandauli,SP,10,Graduate Professional,"Rsÿ46,72,785",Rsÿ0
,,,,,~ 46ÿLacs+,~ 
PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rsÿ3,87,29,400",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,"Rsÿ31,97,22,459",Rsÿ0
,,,,,~ 31ÿCrore+,~ 
AHIR HANSARAJ GANGARAM,Chandrapur,BJP,30,10th Pass,"Rsÿ80,84,050","Rsÿ2,62,243"
,,,,,~ 80ÿLacs+,~ 2ÿLacs+
Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,"Rsÿ2,12,77,657",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
RAJENDRAN C,Chennai South,ADMK,0,Graduate Professional,"Rsÿ2,79,66,678",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Sudini Jaipal Reddy,Chevella,INC,0,Post Graduate,"Rsÿ5,61,50,333","Rsÿ20,42,919"
,,,,,~ 5ÿCrore+,~ 20ÿLacs+
RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,0,10th Pass,"Rsÿ1,05,01,785","Rsÿ66,24,317"
,,,,,~ 1ÿCrore+,~ 66ÿLacs+
"THIRUMAAVALAVAN, THOL",Chidambaram,VCK,2,Post Graduate,"Rsÿ23,47,700","Rsÿ8,81,000"
,,,,,~ 23ÿLacs+,~ 8ÿLacs+
M. Veerappa Moily,Chikkballapur,INC,0,Graduate,"Rsÿ2,93,74,446","Rsÿ10,83,264"
,,,,,~ 2ÿCrore+,~ 10ÿLacs+
KATTI RAMESH VISHWANATH,Chikkodi,BJP,1,12th Pass,"Rsÿ2,83,52,578",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
JANARDHANA SWAMY,Chitradurga,BJP,0,Post Graduate,"Rsÿ2,28,36,000",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,"Rsÿ60,11,000",Rsÿ0
,,,,,~ 60ÿLacs+,~ 
GIRIJA VYAS,Chittorgarh,INC,1,Doctorate,"Rsÿ87,21,354",Rsÿ0
,,,,,~ 87ÿLacs+,~ 
RAM SINGH KASWAN,Churu,BJP,0,Graduate Professional,"Rsÿ2,74,03,097",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,"Rsÿ17,67,722",Rsÿ0
,,,,,~ 17ÿLacs+,~ 
Nripendra Nath Ray,Coochbehar,AIFB,1,Graduate,"Rsÿ11,33,170",Rsÿ0
,,,,,~ 11ÿLacs+,~ 
ALAGIRI S,Cuddalore,INC,0,Graduate,"Rsÿ1,18,66,846","Rsÿ7,81,36,525"
,,,,,~ 1ÿCrore+,~ 7ÿCrore+
Bhartruhari Mahtab,Cuttack,BJD,0,Post Graduate,"Rsÿ5,07,93,831",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
