Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
SHATRUGHAN SINHA,Patna Sahib,BJP,0,Graduate,"Rsÿ15,00,33,976","Rsÿ2,58,78,099"
,,,,,~ 15ÿCrore+,~ 2ÿCrore+
Dr. G. Vivekanand,Peddapalle,INC,0,Graduate Professional,"Rsÿ72,95,09,675",Rsÿ0
,,,,,~ 72ÿCrore+,~ 
"NAPOLEON,D.",Perambalur,DMK,0,Graduate,"Rsÿ19,14,19,973","Rsÿ2,82,70,000"
,,,,,~ 19ÿCrore+,~ 2ÿCrore+
KAPIL MUNI KARWARIYA,Phulpur,BSP,4,Graduate Professional,Nil,Rsÿ0
,,,,,,~ 
FEROZE VARUN GANDHI,Pilibhit,BJP,6,Graduate,"Rsÿ4,92,67,810",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
SUGUMAR.K,Pollachi,ADMK,0,Graduate,"Rsÿ2,13,20,000","Rsÿ1,91,027"
,,,,,~ 2ÿCrore+,~ 1ÿLacs+
NARAYANASAMY,Pondicherry,INC,0,Post Graduate,"Rsÿ3,59,79,157","Rsÿ21,71,758"
,,,,,~ 3ÿCrore+,~ 21ÿLacs+
E T Mohamed Basheer,Ponnani,MUL,0,10th Pass,"Rsÿ6,05,855",Rsÿ0
,,,,,~ 6ÿLacs+,~ 
VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC,16,Graduate,"Rsÿ2,06,75,722",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
RAJKUMARI RATNA SINGH,Pratapgarh,INC,5,Graduate,"Rsÿ67,82,70,725","Rsÿ10,02,000"
,,,,,~ 67ÿCrore+,~ 10ÿLacs+
KALMADI SURESH,Pune,INC,1,Post Graduate,"Rsÿ12,81,65,624",Rsÿ0
,,,,,~ 12ÿCrore+,~ 
Pinaki Misra,Puri,BJD,0,Graduate,"Rsÿ29,69,00,000",Rsÿ0
,,,,,~ 29ÿCrore+,~ 
UDAY SINGH ALIAS PAPPU SINGH,Purnia,BJP,2,12th Pass,"Rsÿ41,91,30,669","Rsÿ14,10,120"
,,,,,~ 41ÿCrore+,~ 14ÿLacs+
Narahari Mahato,Purulia,AIFB,0,Post Graduate,"Rsÿ30,86,000","Rsÿ4,00,000"
,,,,,~ 30ÿLacs+,~ 4ÿLacs+
RADHA MOHAN SINGH,Purvi Champaran,BJP,0,Graduate,"Rsÿ76,29,444","Rsÿ1,84,731"
,,,,,~ 76ÿLacs+,~ 1ÿLacs+
SONIA GANDHI,Rae bareli,INC,0,Others,"Rsÿ1,37,94,768",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
S Pakkirappa,Raichur,BJP,1,5th Pass,"Rsÿ77,36,230",Rsÿ0
,,,,,~ 77ÿLacs+,~ 
ANANT GEETE,Raigad,SHS,1,10th Pass,"Rsÿ85,55,617",Rsÿ0
,,,,,~ 85ÿLacs+,~ 
Deepa Dasmunsi,Raiganj,INC,0,Post Graduate,"Rsÿ1,25,14,145",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Vishu Deo Sai,Raigarh,BJP,0,10th Pass,"Rsÿ23,02,000",Rsÿ0
,,,,,~ 23ÿLacs+,~ 
V Arun Kumar,Rajahmundry,INC,2,Graduate Professional,"Rsÿ1,30,73,077","Rsÿ9,79,680"
,,,,,~ 1ÿCrore+,~ 9ÿLacs+
ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rsÿ62,33,245","Rsÿ6,05,031"
,,,,,~ 62ÿLacs+,~ 6ÿLacs+
NARAYANSINGH AMLABE,Rajgarh,INC,0,12th Pass,"Rsÿ38,08,133","Rsÿ1,61,617"
,,,,,~ 38ÿLacs+,~ 1ÿLacs+
KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC,3,Graduate,"Rsÿ45,60,852","Rsÿ5,99,799"
,,,,,~ 45ÿLacs+,~ 5ÿLacs+
DEVIDHAN BESRA,Rajmahal,BJP,0,10th Pass,"Rsÿ48,28,559",Rsÿ0
,,,,,~ 48ÿLacs+,~ 
Madhusudan Yadav,Rajnandgaon,BJP,1,12th Pass,"Rsÿ11,65,680",Rsÿ0
,,,,,~ 11ÿLacs+,~ 
GOPAL SINGH,Rajsamand,INC,0,Graduate Professional,"Rsÿ41,06,255","Rsÿ4,89,648"
,,,,,~ 41ÿLacs+,~ 4ÿLacs+
SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK,2,Graduate,"Rsÿ12,28,20,653","Rsÿ40,00,000"
,,,,,~ 12ÿCrore+,~ 40ÿLacs+
JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,"Rsÿ13,14,90,118","Rsÿ13,98,995"
,,,,,~ 13ÿCrore+,~ 13ÿLacs+
WASNIK MUKUL BALKRISHNA,Ramtek,INC,1,Post Graduate,"Rsÿ31,11,932",Rsÿ0
,,,,,~ 31ÿLacs+,~ 
SUCHARU RANJAN HALDAR,Ranaghat,AITC,0,Post Graduate,"Rsÿ1,08,82,896",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
SUBODH KANT SAHAY,Ranchi,INC,1,Graduate,"Rsÿ2,71,79,918",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
KANTILAL BHURIA,Ratlam,INC,0,Post Graduate,"Rsÿ3,05,57,089",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
DR.NILESH NARAYAN RANE,Ratnagiri Sindhudurg,INC,1,Doctorate,"Rsÿ3,05,61,862",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
HARIBHAU MADHAV JAWALE,Raver,BJP,0,Graduate,"Rsÿ78,42,881","Rsÿ6,29,917"
,,,,,~ 78ÿLacs+,~ 6ÿLacs+
DEORAJ SINGH PATEL,Rewa,BSP,0,Post Graduate,"Rsÿ3,08,45,000","Rsÿ49,61,271"
,,,,,~ 3ÿCrore+,~ 49ÿLacs+
PAKAURI LAL,Robertsganj,SP,0,Literate,"Rsÿ17,62,515",Rsÿ0
,,,,,~ 17ÿLacs+,~ 
DEEPENDER SINGH,Rohtak,INC,0,Post Graduate,"Rsÿ6,53,67,032",Rsÿ0
,,,,,~ 6ÿCrore+,~ 
MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,0,Graduate Professional,"Rsÿ88,42,370","Rsÿ1,61,190"
,,,,,~ 88ÿLacs+,~ 1ÿLacs+
JAGDISH SINGH RANA,Saharanpur,BSP,0,Graduate,"Rsÿ1,88,67,277","Rsÿ2,98,187"
,,,,,~ 1ÿCrore+,~ 2ÿLacs+
SEMMALAI S,Salem,ADMK,2,Graduate Professional,"Rsÿ4,62,20,339","Rsÿ59,000"
,,,,,~ 4ÿCrore+,~ 59ÿThou+
RAMASHANKAR RAJBHAR,Salempur,BSP,0,Graduate,"Rsÿ23,05,000",Rsÿ0
,,,,,~ 23ÿLacs+,~ 
MAHESWER HAZARI,Samastipur,JD(U),0,Post Graduate,"Rsÿ69,64,921","Rsÿ10,54,356"
,,,,,~ 69ÿLacs+,~ 10ÿLacs+
Amarnath Pradhan,Sambalpur,INC,0,Graduate,"Rsÿ43,25,000","Rsÿ4,66,494"
,,,,,~ 43ÿLacs+,~ 4ÿLacs+
DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,0,Graduate,"Rsÿ70,59,763",Rsÿ0
,,,,,~ 70ÿLacs+,~ 
PRATIK PRAKASHBAPU PATIL,Sangli,INC,1,Others,"Rsÿ2,21,37,000","Rsÿ13,58,000"
,,,,,~ 2ÿCrore+,~ 13ÿLacs+
VIJAY INDER SINGLA,Sangrur,INC,0,12th Pass,"Rsÿ3,47,77,859","Rsÿ3,74,957"
,,,,,~ 3ÿCrore+,~ 3ÿLacs+
BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,0,12th Pass,"Rsÿ3,19,26,944","Rsÿ11,25,920"
,,,,,~ 3ÿCrore+,~ 11ÿLacs+
MEIRA KUMAR,Sasaram,INC,0,Post Graduate,"Rsÿ10,15,65,500",Rsÿ0
,,,,,~ 10ÿCrore+,~ 
BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP,14,Others,"Rsÿ11,72,53,344","Rsÿ18,00,000"
,,,,,~ 11ÿCrore+,~ 18ÿLacs+
GANESH SINGH,Satna,BJP,3,Post Graduate,"Rsÿ73,72,032","Rsÿ16,585"
,,,,,~ 73ÿLacs+,~ 16ÿThou+
ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,"Rsÿ2,06,20,697","Rsÿ15,00,000"
,,,,,~ 2ÿCrore+,~ 15ÿLacs+
RAJESH NANDINI SINGH,Shahdol,INC,0,Graduate,"Rsÿ1,14,75,000","Rsÿ2,00,000"
,,,,,~ 1ÿCrore+,~ 2ÿLacs+
MITHLESH,Shahjahanpur,SP,0,Graduate,"Rsÿ80,35,655","Rsÿ17,46,024"
,,,,,~ 80ÿLacs+,~ 17ÿLacs+
RAMA DEVI,Sheohar,BJP,5,Graduate Professional,"Rsÿ6,94,29,234","Rsÿ8,83,367"
,,,,,~ 6ÿCrore+,~ 8ÿLacs+
VINCENT H PALA,Shillong,INC,0,Graduate Professional,"Rsÿ25,16,18,190",Rsÿ0
,,,,,~ 25ÿCrore+,~ 
VIRENDER KASHYAP,Shimla,BJP,0,Post Graduate,"Rsÿ34,34,928",Rsÿ0
,,,,,~ 34ÿLacs+,~ 
B.Y. RAGHAVENDRA,Shimoga,BJP,0,Graduate Professional,"Rsÿ6,62,73,401","Rsÿ42,34,969"
,,,,,~ 6ÿCrore+,~ 42ÿLacs+
WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,0,Post Graduate,"Rsÿ1,78,60,515","Rsÿ24,27,069"
,,,,,~ 1ÿCrore+,~ 24ÿLacs+
ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,4,Post Graduate,"Rsÿ12,71,13,134","Rsÿ1,62,21,275"
,,,,,~ 12ÿCrore+,~ 1ÿCrore+
VINAY KUMAR ALIAS VINNU,Shrawasti,INC,4,Doctorate,"Rsÿ1,57,43,200","Rsÿ5,89,157"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
GOVIND PRASAD MISHRA,Sidhi,BJP,0,Graduate Professional,"Rsÿ51,87,425",Rsÿ0
,,,,,~ 51ÿLacs+,~ 
MAHADEV SINGH,Sikar,INC,0,Post Graduate,"Rsÿ78,79,689",Rsÿ0
,,,,,~ 78ÿLacs+,~ 
PREM DAS RAI,Sikkim,SDF,0,Post Graduate,"Rsÿ1,85,03,294","Rsÿ8,41,835"
,,,,,~ 1ÿCrore+,~ 8ÿLacs+
Kabindra Purkayastha,Silchar,BJP,0,Post Graduate,"Rsÿ20,98,543","Rsÿ81,279"
,,,,,~ 20ÿLacs+,~ 81ÿThou+
MADHU KORA,Singhbhum,IND,0,Graduate,"Rsÿ98,32,144",Rsÿ0
,,,,,~ 98ÿLacs+,~ 
ASHOK TANWAR,Sirsa,INC,2,Post Graduate,"Rsÿ2,36,64,959",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
ARJUN ROY,Sitamarhi,JD(U),0,Doctorate,"Rsÿ29,07,146","Rsÿ4,62,913"
,,,,,~ 29ÿLacs+,~ 4ÿLacs+
KAISAR JAHAN,Sitapur,BSP,0,8th Pass,"Rsÿ65,53,956",Rsÿ0
,,,,,~ 65ÿLacs+,~ 
CHIDAMBARAM P,Sivaganga,INC,0,Post Graduate,"Rsÿ26,79,08,542",Rsÿ0
,,,,,~ 26ÿCrore+,~ 
OmPrakashYadav,Siwan,IND,1,Graduate,"Rsÿ30,32,500",Rsÿ0
,,,,,~ 30ÿLacs+,~ 
SHINDE SUSHILKUMAR SAMBHAJIRAO,Solapur,INC,0,Graduate Professional,"Rsÿ8,60,42,099","Rsÿ37,00,000"
,,,,,~ 8ÿCrore+,~ 37ÿLacs+
JITENDER SINGH,Sonipat,INC,0,Graduate Professional,"Rsÿ17,79,080",Rsÿ0
,,,,,~ 17ÿLacs+,~ 
RAMESH KUMAR,South Delhi,INC,0,10th Pass,"Rsÿ2,58,45,997","Rsÿ3,29,812"
,,,,,~ 2ÿCrore+,~ 3ÿLacs+
COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,0,Graduate Professional,"Rsÿ2,94,73,470","Rsÿ4,43,500"
,,,,,~ 2ÿCrore+,~ 4ÿLacs+
KALYAN BANERJEE,Sreerampur,AITC,0,Graduate Professional,"Rsÿ1,61,46,266","Rsÿ21,25,000"
,,,,,~ 1ÿCrore+,~ 21ÿLacs+
K. KRUPA RANI,Srikakulam,INC,0,Graduate Professional,"Rsÿ1,84,91,160","Rsÿ26,42,781"
,,,,,~ 1ÿCrore+,~ 26ÿLacs+
FAROOQ ABDULLAH,Srinagar,JKN,0,Graduate Professional,"Rsÿ9,78,41,140",Rsÿ0
,,,,,~ 9ÿCrore+,~ 
BAALU T R,Sriperumbudur,DMK,0,Graduate,"Rsÿ7,69,71,478",Rsÿ0
,,,,,~ 7ÿCrore+,~ 
DR.SANJAY SINGH,Sultanpur,INC,0,Doctorate,"Rsÿ6,22,59,720",Rsÿ0
,,,,,~ 6ÿCrore+,~ 
HEMANAND BISWAL,Sundargarh,INC,0,12th Pass,"Rsÿ39,65,226",Rsÿ0
,,,,,~ 39ÿLacs+,~ 
VISHWA MOHAN KUMAR,Supaul,JD(U),0,Post Graduate,"Rsÿ66,89,616","Rsÿ4,40,179"
,,,,,~ 66ÿLacs+,~ 4ÿLacs+
DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP,1,Graduate,"Rsÿ90,21,338","Rsÿ3,95,000"
,,,,,~ 90ÿLacs+,~ 3ÿLacs+
SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,0,5th Pass,"Rsÿ1,86,18,718",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
ADHIKARI SUVENDU,Tamluk,AITC,3,Graduate,"Rsÿ47,51,934",Rsÿ0
,,,,,~ 47ÿLacs+,~ 
VIJAY BAHUGUNA,Tehri Garhwal,INC,0,Graduate Professional,"Rsÿ1,35,01,773",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
LINGAM P,Tenkasi,CPI,0,Graduate,"Rsÿ1,59,365","Rsÿ23,014"
,,,,,~ 1ÿLacs+,~ 23ÿThou+
JOSEPH TOPPO,Tezpur,AGP,0,10th Pass,"Rsÿ9,36,292","Rsÿ5,35,000"
,,,,,~ 9ÿLacs+,~ 5ÿLacs+
DR.SANJEEV GANESH NAIK,Thane,NCP,2,12th Pass,"Rsÿ3,04,15,344",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
PALANIMANICKAM.S.S,Thanjavur,DMK,0,Graduate Professional,"Rsÿ75,23,592","Rsÿ28,41,136"
,,,,,~ 75ÿLacs+,~ 28ÿLacs+
AARON RASHID.J.M,Theni,INC,0,12th Pass,"Rsÿ24,89,74,573","Rsÿ21,91,815"
,,,,,~ 24ÿCrore+,~ 21ÿLacs+
Shashi Tharoor,Thiruvananthapuram,INC,1,Doctorate,"Rsÿ21,24,42,472",Rsÿ0
,,,,,~ 21ÿCrore+,~ 
JEYADURAI S R,Thoothukkudi,DMK,0,Graduate,"Rsÿ8,75,26,313","Rsÿ10,90,000"
,,,,,~ 8ÿCrore+,~ 10ÿLacs+
P C Chacko,Thrissur,INC,0,Post Graduate,"Rsÿ1,63,35,679",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
VIRENDRA KUMAR,Tikamgarh,BJP,0,Doctorate,"Rsÿ25,51,466",Rsÿ0
,,,,,~ 25ÿLacs+,~ 
KUMAR.P,Tiruchirappalli,ADMK,0,Graduate Professional,"Rsÿ53,45,000","Rsÿ8,06,395"
,,,,,~ 53ÿLacs+,~ 8ÿLacs+
RAMASUBBU S,Tirunelveli,INC,0,Post Graduate,"Rsÿ3,47,06,447","Rsÿ18,07,386"
,,,,,~ 3ÿCrore+,~ 18ÿLacs+
Chinta Mohan,Tirupati,INC,0,Graduate Professional,"Rsÿ55,12,900","Rsÿ5,57,719"
,,,,,~ 55ÿLacs+,~ 5ÿLacs+
SIVASAMI C,Tiruppur,ADMK,3,Post Graduate,"Rsÿ5,18,92,954",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
VENUGOPAL.P,Tiruvallur,ADMK,0,Graduate Professional,"Rsÿ20,74,236","Rsÿ3,50,000"
,,,,,~ 20ÿLacs+,~ 3ÿLacs+
VENUGOPAL.D,Tiruvannamalai,DMK,0,Others,"Rsÿ5,70,10,000","Rsÿ15,38,546"
,,,,,~ 5ÿCrore+,~ 15ÿLacs+
BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,"Rsÿ36,95,981",Rsÿ0
,,,,,~ 36ÿLacs+,~ 
KHAGEN DAS,Tripura West,CPM,0,Post Graduate,"Rsÿ34,92,580",Rsÿ0
,,,,,~ 34ÿLacs+,~ 
G.S. BASAVARAJU,Tumkur,BJP,0,Graduate Professional,"Rsÿ5,43,82,029","Rsÿ87,61,621"
,,,,,~ 5ÿCrore+,~ 87ÿLacs+
AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,"Rsÿ66,44,295",Rsÿ0
,,,,,~ 66ÿLacs+,~ 
Raghuveer singh,Udaipur,INC,0,Graduate,"Rsÿ67,53,883","Rsÿ17,50,000"
,,,,,~ 67ÿLacs+,~ 17ÿLacs+
CH. LAL SINGH,Udhampur,INC,0,Graduate,"Rsÿ17,62,378","Rsÿ26,50,000"
,,,,,~ 17ÿLacs+,~ 26ÿLacs+
D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,0,Graduate Professional,"Rsÿ1,43,75,959","Rsÿ24,86,447"
,,,,,~ 1ÿCrore+,~ 24ÿLacs+
ASWAMEDH DEVI,Ujiarpur,JD(U),0,5th Pass,"Rsÿ1,05,36,274","Rsÿ3,41,141"
,,,,,~ 1ÿCrore+,~ 3ÿLacs+
GUDDU PREMCHAND,Ujjain,INC,3,5th Pass,"Rsÿ10,50,31,313","Rsÿ15,00,000"
,,,,,~ 10ÿCrore+,~ 15ÿLacs+
SULTAN AHMED,Uluberia,AITC,0,Graduate,"Rsÿ60,26,230","Rsÿ36,00,555"
,,,,,~ 60ÿLacs+,~ 36ÿLacs+
ANNUTANDON,Unnao,INC,1,Graduate,"Rsÿ42,13,52,753",Rsÿ0
,,,,,~ 42ÿCrore+,~ 
Ananthkumar Hegde,Uttara Kannada,BJP,3,12th Pass,"Rsÿ64,27,192","Rsÿ39,55,458"
,,,,,~ 64ÿLacs+,~ 39ÿLacs+
Mullappally Ramachandran,Vadakara,INC,0,Post Graduate,"Rsÿ33,16,300","Rsÿ5,02,346"
,,,,,~ 33ÿLacs+,~ 5ÿLacs+
BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP,1,Graduate,"Rsÿ26,62,058","Rsÿ2,16,512"
,,,,,~ 26ÿLacs+,~ 2ÿLacs+
RAGHUVANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,"Rsÿ61,69,238","Rsÿ2,14,137"
,,,,,~ 61ÿLacs+,~ 2ÿLacs+
BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U),1,10th Pass,"Rsÿ44,28,802","Rsÿ5,20,445"
,,,,,~ 44ÿLacs+,~ 5ÿLacs+
KISANBHAI VESTABHAI PATEL,Valsad,INC,2,12th Pass,"Rsÿ15,20,245",Rsÿ0
,,,,,~ 15ÿLacs+,~ 
DR. MURLI MANOHAR JOSHI,Varanasi,BJP,1,Doctorate,"Rsÿ5,44,75,345",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rsÿ1,25,47,128","Rsÿ32,97,328"
,,,,,~ 1ÿCrore+,~ 32ÿLacs+
SUSHMA SWARAJ,Vidisha,BJP,0,Graduate Professional,"Rsÿ7,35,82,637","Rsÿ58,250"
,,,,,~ 7ÿCrore+,~ 58ÿThou+
L Rajagopal,Vijayawada,INC,0,Graduate Professional,"Rsÿ1,22,29,64,909","Rsÿ2,39,67,984"
,,,,,~ 122ÿCrore+,~ 2ÿCrore+
ANANDAN M,Viluppuram,ADMK,0,12th Pass,"Rsÿ89,38,646","Rsÿ9,67,994"
,,,,,~ 89ÿLacs+,~ 9ÿLacs+
MANICKA TAGORE,Virudhunagar,INC,0,Graduate Professional,"Rsÿ33,13,910",Rsÿ0
,,,,,~ 33ÿLacs+,~ 
D. PURANDARESHWARI,Visakhapatnam,INC,0,Graduate,"Rsÿ20,26,39,034","Rsÿ5,60,000"
,,,,,~ 20ÿCrore+,~ 5ÿLacs+
B. JHANSI,Vizianagaram,INC,1,Post Graduate,"Rsÿ2,29,51,539",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Rajaiah Siricilla,Warangal,INC,0,Graduate,"Rsÿ42,24,704","Rsÿ14,61,167"
,,,,,~ 42ÿLacs+,~ 14ÿLacs+
DATTA MEGHE,Wardha,INC,0,Graduate,"Rsÿ28,77,39,495","Rsÿ7,00,08,871"
,,,,,~ 28ÿCrore+,~ 7ÿCrore+
M I Shanavas,Wayanad,INC,0,Post Graduate,"Rsÿ2,39,04,424","Rsÿ25,48,978"
,,,,,~ 2ÿCrore+,~ 25ÿLacs+
MAHABAL MISHRA,West Delhi,INC,0,12th Pass,"Rsÿ6,19,94,338","Rsÿ9,89,118"
,,,,,~ 6ÿCrore+,~ 9ÿLacs+
BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS,1,Graduate,"Rsÿ3,03,99,471","Rsÿ24,30,911"
,,,,,~ 3ÿCrore+,~ 24ÿLacs+
SURESH KUMAR SHETKAR,Zahirabad,INC,0,Graduate,"Rsÿ30,11,999",Rsÿ0
,,,,,~ 30ÿLacs+,~ 
